Priority,Title,Slug,Link,Categories,Have,Description
80,Manfrotto Phone Mount,manfrotto-mobile-phone-adapter,https://www.amazon.com/Manfrotto-Mount-Universal-Cell-Phone/dp/B0169SORDW/ref=sr_1_1?ie=UTF8&qid=1538941118&sr=8-1&keywords=Manfrotto+Phone+Mount%3B&tag=chspks-20,Sold,FALSE,This also has a tripod mounting plate attached and that way I can use my phone on all my tripods. Great for live streams and such.
11,Canon RF 70-200mm f/4,canon-rf-70-200mm-f-4,https://crsp.li/RF70200F4,"Camera, Current",TRUE,"One of the constant dreams of mine is to have the f2.8 version of this lens. However, that one is significantly heavier than this one. So, for now, the f4 will be my travel companion to get those compressed portraits, that different perspective in landscapes, and overall open up a whole new range of photography and video work."
11,Canon RF 15-35mm f/2.8,canon-rf-15-35mm-f-2-8,https://crsp.li/RF1535F28,"Camera, Current",TRUE,"Over the years I noticed again and again that this is my area of shooting on full frame. It's a beautiful range for landscape captures as well as video (vlog and otherwise). And for shallower depth of field, I would always stay away from the 4.0 versions of these lenses."
15,Insta360 X3 360 Camera,insta360-x3,https://crsp.li/Insta360X3,"Camera, Current",TRUE,Capturing 360 is completely revolutionizing the action cam genre. Beign able to reframe after the fact makes filming much easier and gives you perspectives which you just could not get in any other way.
16,Insta360 3m Selfie Stick,insta360-3m-stick,https://crsp.li/Insta360SelfieStick3m,"Camera, Current",TRUE,This stick can extend to up to 3m and only weights 300g. With the 3m it's possible to get almost drone like shots.
16,Insta360 X3 Underwater Housing,insta360-x3-underwater-housing,https://crsp.li/Insta360X3UnderwaterHousing,"Camera, Current",TRUE,"The Insta360 X3 is already waterproof, however: the 360 effect doesn't quite work that well. This housing makes that possible and is also safe to use up to 40m."
70,Røde VideoMic NTG,rode-videomic-ntg,https://crsp.li/RodeVideoMicNTG,"Camera, Current",TRUE,"I love this video mic on top of my camera. It basically is always on there. Has auto shut off, sounds incredible, and is durable. Just an all round amazing mic."
70,Røde VideoMic GO II,rode-videomic-go-2,https://crsp.li/RodeVideoMicGoII,"Camera, Current",TRUE,"This mic is a great replacement for the Røde VideoMicro. Inexpensive, nothing to charge, great sound, and you can use it with your computer as well for voiceovers and podcasts."
80,PGYTECH MantisPod Pro,pgytech-mantispod-pro,https://crsp.li/MantisPodPro,"Camera, Current",TRUE,"The Vlogging tripod of 2022. It works wonderfully, is really flebixle, and super sturdy."
80,PGYTECH Suction Cup Mount,pgytech-suction-cup-mount,https://crsp.li/SuctionCupMount,"Camera, Current",TRUE,
80,SIRUI B-00 Tripod Head,sirui-b-00-ball-head,https://crsp.li/SiruiB00MiniHead,"Camera, Current",TRUE,"This is a great match for my National Geographic Tripod. It's light, has the safety pin, and all the adjustments I need."
80,GNARBOX 2.0 1TB,gnarbox-v2,https://crsp.li/Gnarbox,"Camera, Current",TRUE,This is the old version of this project. They have version 2.0 on Kickstarter right now and I backed them immediately. Being able to shoot raw photos and high res video on the camera of my choice and then immediately being able to edit all that on the go with my phone and share to Instagram and similar is one of the main reasons for this device to exists (next to being an incredible backup device for on the go). I can't wait to hold version 2.0 in my hands.
80,Folding Tripod Mount,folding-tripod-mount,https://crsp.li/PhoneArca,"Camera, Current",TRUE,"Whenever I have to mount my iPhone to shoot some photos, timelapse, or video. this has a in built Arca-Swiss compatible plate and that's all I want."
